size,q,count,time_elapsed
3,2,2,0.017088651657104492
3,3,246,0.017088651657104492
3,4,9612,0.017088651657104492
3,5,142820,0.017088651657104492
3,6,1166910,0.017088651657104492
3,7,6464682,0.017088651657104492
3,8,27350456,0.017088651657104492
3,9,95004072,0.017088651657104492
3,10,283982490,0.017088651657104492
3,11,754324670,0.017088651657104492
3,12,1821684612,0.017088651657104492
3,13,4067709516,0.017088651657104492
3,14,8506024982,0.017088651657104492
3,15,16822697010,0.017088651657104492
4,2,2,0.026186704635620117
4,3,7812,0.026186704635620117
4,4,6000732,0.026186704635620117
4,5,828850160,0.026186704635620117
4,6,38128724910,0.026186704635620117
4,7,856858754052,0.026186704635620117
4,8,11722360851992,0.026186704635620117
4,9,111647093496192,0.026186704635620117
4,10,807567269568570,0.026186704635620117
4,11,4707230299664420,0.026186704635620117
4,12,23062698161984052,0.026186704635620117
4,13,97963534144477872,0.026186704635620117
4,14,369313246327400102,0.026186704635620117
4,15,1258250118125770980,0.026186704635620117
