size,q,eps,count,num_samples,num_iterations,time_elapsed
6,15.0,10.0,3.55857655981865e40,1800,521,2.4989710759333335
6,14.0,10.0,2.086154508141356e39,1800,567,2.5189931190666663
6,13.0,10.0,1.0853092796872228e38,1800,632,2.8862851479
6,12.0,10.0,4.0853534298225967e36,1800,730,3.2096306568333333
6,11.0,10.0,1.0584752015320436e35,1800,892,3.6616540396666664
6,10.0,10.0,1.7953326631844697e33,1800,1217,3.899044434
6,9.0,10.0,2.173378326717928e31,1800,2190,6.792540650833333
6,8.0,10.0,1.0883155647483693e29,1800,2464,7.0110422090333335
6,7.0,10.0,3.213246043822327e26,1800,2816,7.589220756366667
6,6.0,10.0,2.24599465835761e23,1800,3286,8.769865523133332
6,5.0,10.0,3.296505412911871e19,1800,3943,9.943466452833333
6,4.0,10.0,3.65654351611846e14,1800,4929,12.541461358933333
6,3.0,10.0,7.6553553e7,1800,6572,15.804350709666666
6,2.0,10.0,1.0,1800,9858,22.169697961333334
