size,q,eps,count,num_samples,num_iterations,time_elapsed
5,15.0,10.0,1.7676629603656393e28,800,320,0.5550704167
5,14.0,10.0,2.3222345926463433e27,800,349,0.5352470233
5,13.0,10.0,2.719548965126536e26,800,389,0.5868549829
5,12.0,10.0,2.6434672572976184e25,800,449,0.7608758306666666
5,11.0,10.0,2.4404969657666813e24,800,549,0.8715427284333334
5,10.0,10.0,1.352440144098692e23,800,748,0.8780257983333333
5,9.0,10.0,6.40139899219171e21,800,1348,1.5168326600666666
5,8.0,10.0,1.9243255518940905e20,800,1516,1.4444302349666667
5,7.0,10.0,2.8947335594086426e18,800,1733,1.5671566271000001
5,6.0,10.0,2.4089901440073784e16,800,2022,1.7918921663333334
5,5.0,10.0,4.7635265406378e13,800,2426,2.0080195152666667
5,4.0,10.0,2.4607745695e10,800,3033,2.4216128695
5,3.0,10.0,668144.0,800,4044,2.9663902887
5,2.0,10.0,1.0,800,6066,4.1133369846
