size,q,count,time_elapsed
2,2,2,0.0001575946807861328
2,3,18,0.0010137557983398438
2,4,84,0.003428220748901367
2,5,260,0.008678197860717773
2,6,630,0.015734434127807617
3,2,2,0.00402069091796875
3,3,246,0.2073209285736084
3,4,9612,0.6692898273468018
3,5,142820,5.498836517333984
3,6,1166910,31.90999698638916
