size,q,eps,count,num_samples,num_iterations,time_elapsed
3,2.0,1.0,1.0,7200,2211,3.3698956923666668
3,3.0,1.0,236.0,7200,1474,2.3327907700333332
3,4.0,1.0,9555.0,7200,1105,1.8522602201333334
3,5.0,1.0,142504.0,7200,884,1.5853760164000001
3,6.0,1.0,1.170664e6,7200,737,1.3801467734666666
3,7.0,1.0,6.455105e6,7200,631,1.2538844512333334
3,8.0,1.0,2.7441991e7,7200,552,1.1353032255666666
3,9.0,1.0,9.3873529e7,7200,491,1.1072465939666667
3,10.0,1.0,2.88467793e8,7200,273,0.6488957288
3,11.0,1.0,7.64918287e8,7200,200,0.6019620067999999
3,12.0,1.0,1.848245954e9,7200,163,0.5114484626
3,13.0,1.0,4.00175867e9,7200,142,0.4572077787666667
3,14.0,1.0,8.504405428e9,7200,127,0.4181752931
3,15.0,1.0,1.6684995294e10,7200,117,0.39974012253333335
