size,q,eps,count,num_samples,num_iterations,time_elapsed
4,2.0,1.0,2.0,28800,4754,85.71263465636666
4,3.0,1.0,7898.0,28800,3169,141.5562752863
4,4.0,1.0,6.194563e6,28800,2377,115.5665524695
4,5.0,1.0,8.21741774e8,28800,1901,101.79527198873333
4,6.0,1.0,3.7720560799e10,28800,1584,83.62251760253334
4,7.0,1.0,8.72679476153e11,28800,1358,77.88876776346666
4,8.0,1.0,1.1892474181272e13,28800,1188,64.79783767006667
4,9.0,1.0,1.08970963469856e14,28800,1056,33.8970128841
4,10.0,1.0,8.14275332803364e14,28800,586,11.582297336433333
4,11.0,1.0,4.709387886816157e15,28800,430,11.052604473666666
4,12.0,1.0,2.3141407088155076e16,28800,352,9.1198363954
4,13.0,1.0,9.729099098406728e16,28800,305,8.1345013487
4,14.0,1.0,3.670714381096295e17,28800,273,8.146999596766667
4,15.0,1.0,1.2547538911860078e18,28800,251,7.697005158666667
